kalame,mani,pstatus,pdate,nstatus,ndate
ihtiyaç,احتیاج,1,2023-01-18,1,2023-01-19
ilaç,دارو,1,2023-01-18,1,2023-01-19
inatçı,لجباز,1,2023-01-18,1,2023-01-19
istek,خواسته,1,2023-01-18,1,2023-01-19
kadayıf,یک نوع شیرینی,1,2023-01-18,1,2023-01-19
kadeh,)قدح (پیاله,1,2023-01-18,1,2023-01-19
kap,ظرف,1,2023-01-18,1,2023-01-19
kapıcı,نگهبان,1,2023-01-18,1,2023-01-19
karabiber,فلفل سیاه,1,2023-01-18,1,2023-01-19
karınca,مورچه,1,2023-01-18,1,2023-01-19
karizmatik,)کاریزماتیک (جذاب,1,2023-01-18,1,2023-01-19
karpuz,هندوانه,1,2023-01-18,1,2023-01-19
kâse,کاسه,1,2023-01-18,1,2023-01-19
kekik,آویشن,1,2023-01-18,1,2023-01-19
kemer,کمربند,1,2023-01-18,1,2023-01-19
kenar,کنار,1,2023-01-18,1,2023-01-19
kısım,)قسمت (تکه,1,2023-01-18,1,2023-01-19
kıyma,گوشت چرخ کرده,1,2023-01-18,1,2023-01-19
kızıl,قرمز,1,2023-01-18,1,2023-01-19
kilogram,کیلوگرم,1,2023-01-18,1,2023-01-19
klinik,کلینیک,1,2023-01-18,1,2023-01-19
konu,موضوع,1,2023-01-18,1,2023-01-19
korkak,ترسو,1,2023-01-18,1,2023-01-19
köfte,کوفته,1,2023-01-18,1,2023-01-19
kurabiye,نان بادامی(قرابیه),1,2023-01-18,1,2023-01-19
kuşbaşı,گوشت تکه تکه شده,1,2023-01-18,1,2023-01-19
kutsal,مقدس,1,2023-01-18,1,2023-01-19
küp,مکعب,1,2023-01-18,1,2023-01-19
lahmacun,)(نوع غذا,1,2023-01-18,1,2023-01-19
levha,لوحه(تابلو),1,2023-01-18,1,2023-01-19
lezzetli,)خوشمزه(لذیذ,1,2023-01-18,1,2023-01-19
lokum,راحت الحلقوم,1,2023-01-18,1,2023-01-19
makarna,ماکارونی,1,2023-01-18,1,2023-01-19
malzeme,مواد الزم,1,2023-01-18,1,2023-01-19
maydanoz,جعفری,1,2023-01-18,1,2023-01-19
menü,منو,1,2023-01-18,1,2023-01-19
meraklı,کنجکاو,1,2023-01-18,1,2023-01-19
meslek,شغل,1,2023-01-18,1,2023-01-19
mesut,خوشبخت,1,2023-01-18,1,2023-01-19
miktar,مقدار,1,2023-01-18,1,2023-01-19
mutlaka,مطلقا,1,2023-01-18,1,2023-01-19
müşteri,مشتری,1,2023-01-18,1,2023-01-19
tepsi,سيني,1,2023-01-18,1,2023-01-19
